"type.name","team.name","player.name","duration","possession_team.name","location.x","location.y","shot.statsbomb_xg","pass.length","pass.angle","pass.cross","pass.switch","pass.end_location.x","pass.end_location.y","pass.recipient.name","pass.outcome.name","carry.end_location.x","carry.end_location.y"
"Pass","Barcelona","Giovanni van Bronckhorst",4.262697,"Barcelona",120,79,NA,62.525913,1.9082259,NA,TRUE,99.3,20,"Rafael Márquez Álvarez","Incomplete",NA,NA
"Ball Receipt*","Barcelona","Rafael Márquez Álvarez",NA,"Barcelona",108.5,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ball Recovery","Málaga","Edgar Patricio De Carvalho Pacheco",0,"Málaga",21.7,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Edgar Patricio De Carvalho Pacheco",2.463403,"Málaga",21.7,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.1,59.1
"Pressure","Barcelona","Anderson Luís de Souza",0.996134,"Málaga",94.4,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Málaga","Edgar Patricio De Carvalho Pacheco",1.632,"Málaga",18.1,59.1,NA,16.311039,-0.036793206,NA,NA,34.4,59.7,"Juan Antonio Rodríguez Villamuela",NA,NA,NA
"Ball Receipt*","Málaga","Juan Antonio Rodríguez Villamuela",NA,"Málaga",34.4,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Juan Antonio Rodríguez Villamuela",2.6,"Málaga",34.4,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,54.9
"Pass","Málaga","Juan Antonio Rodríguez Villamuela",2.6972,"Málaga",48.8,54.9,NA,42.27647,0.8993801,NA,NA,75.1,21.8,"Antonio Manuel Sánchez Gómez",NA,NA,NA
"Ball Receipt*","Málaga","Antonio Manuel Sánchez Gómez",NA,"Málaga",75.1,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Antonio Manuel Sánchez Gómez",3.5737,"Málaga",75.1,21.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.1,38.7
"Pressure","Barcelona","Giovanni van Bronckhorst",1.443819,"Málaga",49.9,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Málaga","Antonio Manuel Sánchez Gómez",1.4319,"Málaga",83.1,38.7,NA,23.269077,-1.2966288,NA,NA,89.4,61.1,"Márcio Amoroso dos Santos",NA,NA,NA
"Ball Receipt*","Málaga","Márcio Amoroso dos Santos",NA,"Málaga",89.4,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Márcio Amoroso dos Santos",0.04,"Málaga",89.4,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.4,61.1
"Pass","Málaga","Márcio Amoroso dos Santos",2.7621,"Málaga",89.4,61.1,NA,39.1635,1.1860225,NA,NA,104.1,24.8,"Miguel Ángel Lozano Ayala",NA,NA,NA
"Ball Receipt*","Málaga","Miguel Ángel Lozano Ayala",NA,"Málaga",104.1,24.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shot","Málaga","Miguel Ángel Lozano Ayala",1.603682,"Málaga",102,27.2,0.048476335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Goal Keeper","Barcelona","Víctor Valdés Arribas",0,"Málaga",0.4,40.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Víctor Valdés Arribas",1.64135,"Barcelona",6,44,NA,30.024157,-0.49642277,NA,NA,32.4,58.3,"Oleguer Presas Renom",NA,NA,NA
"Ball Receipt*","Barcelona","Oleguer Presas Renom",NA,"Barcelona",32.4,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Oleguer Presas Renom",0.874359,"Barcelona",33,54.9,NA,21.734764,1.395058,NA,NA,36.8,33.5,"Carles Puyol i Saforcada",NA,NA,NA
"Ball Receipt*","Barcelona","Carles Puyol i Saforcada",NA,"Barcelona",36.8,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Carles Puyol i Saforcada",3.103719,"Barcelona",36.8,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.2,30.9
"Pass","Barcelona","Carles Puyol i Saforcada",2.866316,"Barcelona",47.2,30.9,NA,65.38088,-0.8221781,NA,TRUE,91.7,78.8,"Ronaldo de Assis Moreira","Out",NA,NA
"Ball Receipt*","Barcelona","Ronaldo de Assis Moreira",NA,"Barcelona",88.7,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Málaga","Alexis Ruano Delgado",1.6472,"Málaga",31,0,NA,28.96636,-0.10722605,NA,NA,59.8,3.09999999999999,"Márcio Amoroso dos Santos","Incomplete",NA,NA
"Ball Receipt*","Málaga","Márcio Amoroso dos Santos",NA,"Málaga",56.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duel","Málaga","Márcio Amoroso dos Santos",0,"Málaga",59.8,3.09999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clearance","Barcelona","Oleguer Presas Renom",0,"Málaga",61.2,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Málaga","Alexis Ruano Delgado",1.07792,"Málaga",65.8,0,NA,15.708915,-0.198644,NA,NA,81.2,3.09999999999999,"Antonio Manuel Sánchez Gómez","Incomplete",NA,NA
"Ball Receipt*","Málaga","Antonio Manuel Sánchez Gómez",NA,"Málaga",82,2.09999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Interception","Barcelona","Giovanni van Bronckhorst",0,"Málaga",39.8,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Málaga","Alexis Ruano Delgado",4.68215,"Málaga",73.2,3.2,NA,47.446495,-0.044274844,NA,NA,120.6,5.3,NA,"Out",NA,NA
"Pass","Barcelona","Víctor Valdés Arribas",1.559518,"Barcelona",6,36,NA,31.435648,0.23109066,NA,NA,36.6,28.8,"Carles Puyol i Saforcada",NA,NA,NA
"Ball Receipt*","Barcelona","Carles Puyol i Saforcada",NA,"Barcelona",36.6,28.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Carles Puyol i Saforcada",0.343709,"Barcelona",41.9,28.4,NA,20.143734,1.2474759,NA,NA,48.3,9.3,"Juliano Haus Belletti",NA,NA,NA
"Ball Receipt*","Barcelona","Juliano Haus Belletti",NA,"Barcelona",48.3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Juliano Haus Belletti",2.355651,"Barcelona",48.3,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1,6.5
"Pass","Barcelona","Juliano Haus Belletti",3.4506,"Barcelona",60.1,6.5,NA,61.052193,-0.66348535,NA,NA,108.2,44.1,"Samuel Eto""o Fils","Incomplete",NA,NA
"Ball Receipt*","Barcelona","Samuel Eto""o Fils",NA,"Barcelona",103.3,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ball Recovery","Málaga","Juan Jesús Calatayud Sánchez",0,"Málaga",12.8,34.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Málaga","Juan Jesús Calatayud Sánchez",2.3773,"Málaga",14.3,37.8,NA,23.740683,-0.9348772,NA,NA,28.4,56.9,"Fernando Sanz Durán",NA,NA,NA
"Ball Receipt*","Málaga","Fernando Sanz Durán",NA,"Málaga",28.4,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Málaga","Fernando Sanz Durán",1.5164,"Málaga",37.3,55.9,NA,19.106543,-1.5969684,NA,NA,36.8,75,"Raúl Iznata Zabala",NA,NA,NA
"Pressure","Barcelona","Andrés Iniesta Luján",0.817443,"Málaga",78.3,7.40000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ball Receipt*","Málaga","Raúl Iznata Zabala",NA,"Málaga",36.8,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Málaga","Raúl Iznata Zabala",0.5317,"Málaga",36.8,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,74.8
"Pass","Málaga","Raúl Iznata Zabala",1.581563,"Málaga",38.9,74.8,NA,15.524175,-0.26060238,NA,NA,53.9,78.8,"Edgar Patricio De Carvalho Pacheco","Out",NA,NA
"Ball Receipt*","Málaga","Edgar Patricio De Carvalho Pacheco",NA,"Málaga",53.9,74.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pass","Barcelona","Juliano Haus Belletti",1.737746,"Barcelona",71.3,0,NA,17.590054,-2.637255,NA,NA,55.9,8.5,"Carles Puyol i Saforcada",NA,NA,NA
"Ball Receipt*","Barcelona","Carles Puyol i Saforcada",NA,"Barcelona",55.9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Carles Puyol i Saforcada",1.572654,"Barcelona",55.9,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.1,12
"Pass","Barcelona","Carles Puyol i Saforcada",2.655676,"Barcelona",56.1,12,NA,35.82583,-1.6546329,NA,NA,53.1,47.7,"Oleguer Presas Renom",NA,NA,NA
"Ball Receipt*","Barcelona","Oleguer Presas Renom",NA,"Barcelona",53.1,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Oleguer Presas Renom",0.080024,"Barcelona",53.1,47.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,47.7
"Pass","Barcelona","Oleguer Presas Renom",1.104945,"Barcelona",53.1,47.7,NA,15.90283,-0.9461609,NA,NA,62.4,60.6,"Xavier Hernández Creus",NA,NA,NA
"Ball Receipt*","Barcelona","Xavier Hernández Creus",NA,"Barcelona",62.4,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Xavier Hernández Creus",0.039955,"Barcelona",62.4,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7,60.7
"Pass","Barcelona","Xavier Hernández Creus",1.171678,"Barcelona",62.7,60.7,NA,20.308865,2.5276396,NA,NA,46.1,49,"Oleguer Presas Renom",NA,NA,NA
"Ball Receipt*","Barcelona","Oleguer Presas Renom",NA,"Barcelona",46.1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carry","Barcelona","Oleguer Presas Renom",0.908122,"Barcelona",46.1,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1,49
"Pass","Barcelona","Oleguer Presas Renom",1.407465,"Barcelona",46.1,49,NA,23.505318,1.3082756,NA,NA,52.2,26.3,"Carles Puyol i Saforcada",NA,NA,NA
